,supermercado,precio
932,Dia,1.69
933,Dia,1.79
934,Dia,1.15
935,Dia,1.30
936,Dia,1.33
937,Dia,6.90
938,Dia,7.80
939,Dia,7.98
940,Dia,1.49
941,Dia,1.65
942,Dia,1.68
943,Dia,8.94
944,Dia,10.08
945,Dia,1.09
946,Dia,1.19
947,Dia,1.21
948,Dia,6.54
949,Dia,7.14
950,Dia,7.26
951,Dia,0.86
952,Dia,0.88
953,Dia,5.16
954,Dia,5.28
955,Dia,1.19
956,Dia,1.43
957,Dia,1.46
958,Dia,7.14
959,Dia,8.58
960,Dia,8.76
961,Dia,1.48
962,Dia,1.51
963,Dia,1.25
964,Dia,1.49
965,Dia,1.52
966,Dia,1.58
967,Dia,7.50
968,Dia,8.94
969,Dia,9.12
970,Dia,9.48
971,Dia,1.49
972,Dia,1.52
973,Dia,1.69
974,Dia,1.72
975,Dia,1.78
976,Dia,1.82
977,Dia,2.36
978,Dia,2.41
979,Dia,2.44
980,Dia,10.14
981,Dia,10.32
982,Dia,10.68
983,Dia,10.92
984,Dia,1.09
985,Dia,1.14
986,Dia,1.16
987,Dia,6.54
988,Dia,6.84
989,Dia,6.96
990,Dia,14.16
991,Dia,14.46
992,Dia,14.64
993,Dia,0.90
994,Dia,0.91
995,Dia,0.92
996,Dia,0.85
997,Dia,0.87
998,Dia,5.40
999,Dia,5.46
1000,Dia,5.52
1001,Dia,0.99
1002,Dia,1.01
1003,Dia,1.12
1004,Dia,1.15
1005,Dia,1.30
1006,Dia,1.33
1007,Dia,6.90
1008,Dia,7.80
1009,Dia,7.98
1010,Dia,1.19
1011,Dia,1.29
1012,Dia,1.32
1013,Dia,7.14
1014,Dia,7.74
1015,Dia,7.92
1016,Dia,0.97
1017,Dia,0.99
1018,Dia,5.82
1019,Dia,5.94
1020,Dia,1.19
1021,Dia,1.43
1022,Dia,1.46
1023,Dia,7.14
1024,Dia,8.58
1025,Dia,8.76
1026,Dia,2.79
1027,Dia,2.99
1028,Dia,3.05
1029,Dia,0.99
1030,Dia,1.05
1031,Dia,1.07
1032,Dia,0.98
1033,Dia,0.99
1034,Dia,1.01
1035,Dia,1.04
1036,Dia,0.96
1037,Dia,0.98
1038,Dia,1.50
1039,Dia,1.73
1040,Dia,1.76
1041,Dia,9.00
1042,Dia,10.38
1043,Dia,10.56
1044,Dia,1.76
1045,Dia,10.56
1046,Dia,1.25
1047,Dia,1.49
1048,Dia,1.52
1049,Dia,1.59
1050,Dia,1.47
1051,Dia,1.50
1052,Dia,1.59
1053,Dia,1.65
1054,Dia,1.68
1055,Dia,1.75
1056,Dia,1.79
1057,Dia,2.28
1058,Dia,2.33
1059,Dia,2.38
1060,Dia,9.90
1061,Dia,10.08
1062,Dia,10.50
1063,Dia,10.74
1064,Dia,13.68
1065,Dia,13.98
1066,Dia,14.28
1067,Dia,1.05
1068,Dia,1.09
1069,Dia,1.11
1070,Dia,0.69
1071,Dia,0.70
1072,Dia,6.30
1073,Dia,6.54
1074,Dia,6.66
1075,Dia,2.09
1076,Dia,2.13
1077,Dia,0.81
1078,Dia,0.83
1079,Dia,4.86
1080,Dia,4.98
1081,Dia,1.59
1082,Dia,0.99
1083,Dia,1.01
1084,Dia,1.08
1085,Dia,2.49
1086,Dia,2.54
1087,Dia,1.15
1088,Dia,1.30
1089,Dia,1.33
1090,Dia,6.90
1091,Dia,7.80
1092,Dia,7.98
1093,Dia,1.15
1094,Dia,1.25
1095,Dia,1.28
1096,Dia,6.90
1097,Dia,7.50
1098,Dia,7.68
1099,Dia,0.89
1100,Dia,0.91
1101,Dia,5.34
1102,Dia,5.46
1103,Dia,1.19
1104,Dia,1.43
1105,Dia,1.46
1106,Dia,7.14
1107,Dia,8.58
1108,Dia,8.76
1109,Eroski,1.29
1110,Eroski,1.65
1111,Eroski,1.67
1112,Eroski,1.70
1113,Eroski,1.99
1114,Eroski,1.65
1115,Eroski,4.90
1116,Eroski,5.00
1117,Eroski,1.09
1118,Eroski,1.11
1119,Eroski,1.24
1120,Eroski,1.26
1121,Eroski,1.49
1122,Eroski,1.65
1123,Eroski,1.70
1124,Eroski,1.59
1125,Eroski,1.62
1126,Eroski,1.69
1127,Eroski,1.72
1128,Eroski,2.18
1129,Eroski,2.22
1130,Eroski,2.39
1131,Eroski,1.00
1132,Eroski,1.05
1133,Eroski,1.07
1134,Eroski,0.73
1135,Eroski,0.74
1136,Eroski,1.24
1137,Eroski,1.26
1138,Eroski,0.77
1139,Eroski,0.79
1140,Eroski,0.80
1141,Eroski,1.36
1142,Eroski,1.39
1143,Eroski,1.48
1144,Eroski,0.93
1145,Eroski,0.95
1146,Eroski,1.52
1147,Eroski,1.75
1148,Eroski,1.79
1149,Eroski,1.65
1150,Eroski,1.68
1151,Eroski,1.29
1152,Eroski,1.49
1153,Eroski,1.58
1154,Eroski,1.61
1155,Eroski,1.45
1156,Eroski,1.55
1157,Eroski,1.58
1158,Eroski,0.92
1159,Eroski,0.94
1160,Eroski,0.95
1161,Eroski,1.38
1162,Eroski,1.41
1163,Eroski,1.24
1164,Eroski,1.26
1165,Eroski,1.19
1166,Eroski,1.24
1167,Eroski,1.26
1168,Eroski,1.24
1169,Eroski,1.26
1170,Eroski,1.69
1171,Eroski,1.72
1172,Eroski,1.14
1173,Eroski,1.16
1174,Eroski,1.30
1175,Eroski,1.33
1176,Eroski,0.95
1177,Eroski,1.16
1178,Eroski,1.17
1179,Eroski,1.19
1180,Eroski,1.15
1181,Eroski,1.17
1182,Eroski,1.64
1183,Eroski,1.89
1184,Eroski,1.93
1185,Eroski,1.19
1186,Eroski,1.29
1187,Eroski,1.32
1188,Eroski,1.69
1189,Eroski,1.72
1190,Eroski,1.09
1191,Eroski,1.42
