,supermercado,precio
960,Carrefour,38.99
961,Carrefour,40.95
962,Carrefour,49.00
963,Carrefour,50.50
964,Carrefour,51.51
965,Carrefour,56.86
966,Carrefour,56.90
967,Carrefour,58.70
968,Carrefour,59.70
969,Carrefour,4.99
970,Carrefour,5.09
971,Carrefour,5.19
972,Carrefour,5.25
973,Carrefour,3.45
974,Carrefour,3.69
975,Carrefour,2.45
976,Carrefour,11.15
977,Carrefour,2.55
978,Carrefour,3.59
979,Carrefour,7.75
980,Carrefour,5.69
981,Carrefour,9.45
982,Carrefour,5.99
983,Carrefour,6.89
984,Carrefour,3.65
985,Carrefour,2.09
986,Carrefour,2.99
987,Carrefour,2.59
988,Carrefour,1.50
989,Carrefour,3.85
990,Carrefour,5.45
991,Carrefour,1.46
992,Carrefour,4.19
993,Carrefour,4.25
994,Carrefour,4.29
995,Carrefour,4.49
996,Carrefour,2.59
997,Carrefour,2.19
998,Carrefour,2.95
999,Carrefour,2.75
1000,Carrefour,3.45
1001,Carrefour,4.45
1002,Carrefour,5.69
1003,Carrefour,6.15
1004,Carrefour,6.45
1005,Carrefour,1.91
1006,Carrefour,1.91
1007,Dia,7.37
1008,Dia,8.06
1009,Dia,8.51
1010,Dia,9.07
1011,Dia,10.69
1012,Dia,11.86
1013,Dia,12.33
1014,Dia,12.95
1015,Dia,6.75
1016,Dia,6.95
1017,Dia,7.09
1018,Dia,7.62
1019,Dia,8.00
1020,Dia,19.95
1021,Dia,20.67
1022,Dia,21.08
1023,Dia,22.76
1024,Dia,34.45
1025,Dia,35.14
1026,Dia,37.76
1027,Dia,39.65
1028,Dia,22.76
1029,Dia,23.90
1030,Dia,8.69
1031,Dia,8.86
1032,Dia,8.94
1033,Dia,9.39
1034,Dia,7.37
1035,Dia,8.06
1036,Dia,8.51
1037,Dia,9.07
1038,Dia,10.69
1039,Dia,11.86
1040,Dia,12.33
1041,Dia,6.75
1042,Dia,6.95
1043,Dia,7.09
1044,Dia,7.62
1045,Dia,8.00
1046,Dia,19.95
1047,Dia,20.67
1048,Dia,21.08
1049,Dia,22.76
1050,Dia,34.45
1051,Dia,35.14
1052,Dia,37.76
1053,Dia,39.65
1054,Dia,22.76
1055,Dia,7.69
1056,Dia,9.89
1057,Dia,10.99
1058,Dia,11.86
1059,Dia,12.45
1060,Dia,8.69
1061,Dia,8.86
1062,Dia,8.94
1063,Dia,9.39
1064,Dia,10.15
1065,Dia,10.36
1066,Dia,10.49
1067,Dia,10.70
1068,Dia,13.81
1069,Dia,14.50
1070,Dia,2.85
1071,Dia,2.99
1072,Dia,3.79
1073,Dia,3.80
1074,Dia,3.99
1075,Dia,3.79
1076,Dia,3.80
1077,Dia,3.99
1078,Dia,8.97
1079,Dia,13.80
1080,Dia,14.49
1081,Dia,10.37
1082,Dia,10.58
1083,Dia,10.89
1084,Dia,4.18
1085,Dia,4.26
1086,Dia,4.39
1087,Dia,11.86
1088,Dia,12.45
1089,Dia,33.29
1090,Dia,34.95
1091,Dia,7.61
1092,Dia,7.76
1093,Dia,7.99
1094,Dia,13.90
1095,Dia,14.28
1096,Dia,14.99
1097,Dia,7.57
1098,Dia,7.59
1099,Dia,7.72
1100,Dia,7.95
1101,Dia,9.74
1102,Dia,11.42
1103,Dia,12.99
1104,Dia,14.28
1105,Dia,14.99
1106,Dia,12.37
1107,Dia,12.62
1108,Dia,12.99
1109,Dia,3.80
1110,Dia,3.88
1111,Dia,3.99
1112,Dia,8.85
1113,Dia,8.95
1114,Dia,8.99
1115,Dia,9.13
1116,Dia,9.19
1117,Dia,9.65
1118,Dia,7.65
1119,Dia,7.75
1120,Dia,7.89
1121,Dia,8.49
1122,Dia,26.25
1123,Dia,26.73
1124,Dia,26.85
1125,Dia,27.26
1126,Dia,27.51
1127,Dia,28.89
1128,Dia,4.28
1129,Dia,4.37
1130,Dia,4.49
1131,Dia,7.75
1132,Dia,7.89
1133,Dia,8.05
1134,Dia,8.30
1135,Dia,8.52
1136,Dia,8.95
1137,Dia,22.95
1138,Dia,23.49
1139,Dia,23.96
1140,Dia,24.79
1141,Dia,25.43
1142,Dia,26.70
1143,Dia,4.99
1144,Dia,5.04
1145,Dia,5.09
1146,Dia,5.29
1147,Dia,5.09
1148,Dia,5.19
1149,Dia,5.42
1150,Dia,5.69
1151,Dia,13.29
1152,Dia,13.95
1153,Dia,2.15
1154,Eroski,4.99
1155,Eroski,5.65
1156,Eroski,2.15
1157,Eroski,2.20
1158,Eroski,2.25
1159,Eroski,7.95
1160,Eroski,8.56
1161,Eroski,11.85
1162,Eroski,11.86
1163,Eroski,11.89
1164,Eroski,11.99
1165,Eroski,12.33
1166,Eroski,12.95
1167,Eroski,12.96
1168,Eroski,20.95
1169,Eroski,21.95
